ESPN_Name,Conference
Boston College Eagles,ACC
Clemson Tigers,ACC
Duke Blue Devils,ACC
Florida State Seminoles,ACC
Georgia Tech Yellow Jackets,ACC
Louisville Cardinals,ACC
Miami Hurricanes,ACC
NC State Wolfpack,ACC
North Carolina Tar Heels,ACC
Notre Dame Fighting Irish,ACC
Pittsburgh Panthers,ACC
Syracuse Orange,ACC
Virginia Cavaliers,ACC
Virginia Tech Hokies,ACC
Wake Forest Demon Deacons,ACC
Austin Peay Governors,ASUN
Bellarmine Knights,ASUN
Central Arkansas Bears,ASUN
Eastern Kentucky Colonels,ASUN
Florida Gulf Coast Eagles,ASUN
Jacksonville Dolphins,ASUN
Kennesaw State Owls,ASUN
Lipscomb Bisons,ASUN
North Alabama Lions,ASUN
North Florida Ospreys,ASUN
Queens University Royals,ASUN
Stetson Hatters,ASUN
Binghamton Bearcats,America East
Bryant Bulldogs,America East
Maine Black Bears,America East
NJIT Highlanders,America East
New Hampshire Wildcats,America East
UAlbany Great Danes,America East
UMBC Retrievers,America East
UMass Lowell River Hawks,America East
Vermont Catamounts,America East
Charlotte 49ers,American
East Carolina Pirates,American
Florida Atlantic Owls,American
Memphis Tigers,American
North Texas Mean Green,American
Rice Owls,American
SMU Mustangs,American
South Florida Bulls,American
Temple Owls,American
Tulane Green Wave,American
Tulsa Golden Hurricane,American
UAB Blazers,American
UTSA Roadrunners,American
Wichita State Shockers,American
Davidson Wildcats,Atlantic 10
Dayton Flyers,Atlantic 10
Duquesne Dukes,Atlantic 10
Fordham Rams,Atlantic 10
George Mason Patriots,Atlantic 10
George Washington Revolutionaries,Atlantic 10
La Salle Explorers,Atlantic 10
Loyola Chicago Ramblers,Atlantic 10
Massachusetts Minutemen,Atlantic 10
Rhode Island Rams,Atlantic 10
Richmond Spiders,Atlantic 10
Saint Joseph's Hawks,Atlantic 10
Saint Louis Billikens,Atlantic 10
St. Bonaventure Bonnies,Atlantic 10
VCU Rams,Atlantic 10
BYU Cougars,Big 12
Baylor Bears,Big 12
Cincinnati Bearcats,Big 12
Houston Cougars,Big 12
Iowa State Cyclones,Big 12
Kansas Jayhawks,Big 12
Kansas State Wildcats,Big 12
Oklahoma Sooners,Big 12
Oklahoma State Cowboys,Big 12
TCU Horned Frogs,Big 12
Texas Longhorns,Big 12
Texas Tech Red Raiders,Big 12
UCF Knights,Big 12
West Virginia Mountaineers,Big 12
Butler Bulldogs,Big East
Creighton Bluejays,Big East
DePaul Blue Demons,Big East
Georgetown Hoyas,Big East
Marquette Golden Eagles,Big East
Providence Friars,Big East
Seton Hall Pirates,Big East
St. John's Red Storm,Big East
UConn Huskies,Big East
Villanova Wildcats,Big East
Xavier Musketeers,Big East
Eastern Washington Eagles,Big Sky
Idaho State Bengals,Big Sky
Idaho Vandals,Big Sky
Montana Grizzlies,Big Sky
Montana State Bobcats,Big Sky
Northern Arizona Lumberjacks,Big Sky
Northern Colorado Bears,Big Sky
Portland State Vikings,Big Sky
Sacramento State Hornets,Big Sky
Weber State Wildcats,Big Sky
Charleston Southern Buccaneers,Big South
Gardner-Webb Runnin' Bulldogs,Big South
High Point Panthers,Big South
Longwood Lancers,Big South
Presbyterian Blue Hose,Big South
Radford Highlanders,Big South
South Carolina Upstate Spartans,Big South
UNC Asheville Bulldogs,Big South
Winthrop Eagles,Big South
Illinois Fighting Illini,Big Ten
Indiana Hoosiers,Big Ten
Iowa Hawkeyes,Big Ten
Maryland Terrapins,Big Ten
Michigan State Spartans,Big Ten
Michigan Wolverines,Big Ten
Minnesota Golden Gophers,Big Ten
Nebraska Cornhuskers,Big Ten
Northwestern Wildcats,Big Ten
Ohio State Buckeyes,Big Ten
Penn State Nittany Lions,Big Ten
Purdue Boilermakers,Big Ten
Rutgers Scarlet Knights,Big Ten
Wisconsin Badgers,Big Ten
Cal Poly Mustangs,Big West
Cal State Bakersfield Roadrunners,Big West
Cal State Fullerton Titans,Big West
Cal State Northridge Matadors,Big West
Hawai'i Rainbow Warriors,Big West
Long Beach State Beach,Big West
UC Davis Aggies,Big West
UC Irvine Anteaters,Big West
UC Riverside Highlanders,Big West
UC San Diego Tritons,Big West
UC Santa Barbara Gauchos,Big West
Campbell Fighting Camels,Coastal
Charleston Cougars,Coastal
Delaware Blue Hens,Coastal
Drexel Dragons,Coastal
Elon Phoenix,Coastal
Hampton Pirates,Coastal
Hofstra Pride,Coastal
Monmouth Hawks,Coastal
North Carolina A&T Aggies,Coastal
Northeastern Huskies,Coastal
Stony Brook Seawolves,Coastal
Towson Tigers,Coastal
UNC Wilmington Seahawks,Coastal
William & Mary Tribe,Coastal
Florida International Panthers,Conference USA
Jacksonville State Gamecocks,Conference USA
Liberty Flames,Conference USA
Louisiana Tech Bulldogs,Conference USA
Middle Tennessee Blue Raiders,Conference USA
New Mexico State Aggies,Conference USA
Sam Houston Bearkats,Conference USA
UTEP Miners,Conference USA
Western Kentucky Hilltoppers,Conference USA
Cleveland State Vikings,Horizon
Detroit Mercy Titans,Horizon
Green Bay Phoenix,Horizon
IUPUI Jaguars,Horizon
Milwaukee Panthers,Horizon
Northern Kentucky Norse,Horizon
Oakland Golden Grizzlies,Horizon
Purdue Fort Wayne Mastodons,Horizon
Robert Morris Colonials,Horizon
Wright State Raiders,Horizon
Youngstown State Penguins,Horizon
Chicago State Cougars,Independents
Brown Bears,Ivy
Columbia Lions,Ivy
Cornell Big Red,Ivy
Dartmouth Big Green,Ivy
Harvard Crimson,Ivy
Pennsylvania Quakers,Ivy
Princeton Tigers,Ivy
Yale Bulldogs,Ivy
Canisius Golden Griffins,MAAC
Fairfield Stags,MAAC
Iona Gaels,MAAC
Manhattan Jaspers,MAAC
Marist Red Foxes,MAAC
Mount St. Mary's Mountaineers,MAAC
Niagara Purple Eagles,MAAC
Quinnipiac Bobcats,MAAC
Rider Broncs,MAAC
Saint Peter's Peacocks,MAAC
Siena Saints,MAAC
Coppin State Eagles,MEAC
Delaware State Hornets,MEAC
Howard Bison,MEAC
Maryland-Eastern Shore Hawks,MEAC
Morgan State Bears,MEAC
Norfolk State Spartans,MEAC
North Carolina Central Eagles,MEAC
South Carolina State Bulldogs,MEAC
Akron Zips,Mid-American
Ball State Cardinals,Mid-American
Bowling Green Falcons,Mid-American
Buffalo Bulls,Mid-American
Central Michigan Chippewas,Mid-American
Eastern Michigan Eagles,Mid-American
Kent State Golden Flashes,Mid-American
Miami (OH) RedHawks,Mid-American
Northern Illinois Huskies,Mid-American
Ohio Bobcats,Mid-American
Toledo Rockets,Mid-American
Western Michigan Broncos,Mid-American
Belmont Bruins,Missouri Valley
Bradley Braves,Missouri Valley
Drake Bulldogs,Missouri Valley
Evansville Purple Aces,Missouri Valley
Illinois State Redbirds,Missouri Valley
Indiana State Sycamores,Missouri Valley
Missouri State Bears,Missouri Valley
Murray State Racers,Missouri Valley
Northern Iowa Panthers,Missouri Valley
Southern Illinois Salukis,Missouri Valley
UIC Flames,Missouri Valley
Valparaiso Beacons,Missouri Valley
Air Force Falcons,Mountain West
Boise State Broncos,Mountain West
Colorado State Rams,Mountain West
Fresno State Bulldogs,Mountain West
Nevada Wolf Pack,Mountain West
New Mexico Lobos,Mountain West
San Diego State Aztecs,Mountain West
San José State Spartans,Mountain West
UNLV Rebels,Mountain West
Utah State Aggies,Mountain West
Wyoming Cowboys,Mountain West
Central Connecticut Blue Devils,Northeast
Fairleigh Dickinson Knights,Northeast
Le Moyne Dolphins,Northeast
Long Island University Sharks,Northeast
Merrimack Warriors,Northeast
Sacred Heart Pioneers,Northeast
St. Francis (PA) Red Flash,Northeast
Stonehill Skyhawks,Northeast
Wagner Seahawks,Northeast
Eastern Illinois Panthers,Ohio Valley
Lindenwood Lions,Ohio Valley
Little Rock Trojans,Ohio Valley
Morehead State Eagles,Ohio Valley
SIU Edwardsville Cougars,Ohio Valley
Southeast Missouri State Redhawks,Ohio Valley
Southern Indiana Screaming Eagles,Ohio Valley
Tennessee State Tigers,Ohio Valley
Tennessee Tech Golden Eagles,Ohio Valley
UT Martin Skyhawks,Ohio Valley
Western Illinois Leathernecks,Ohio Valley
Arizona State Sun Devils,Pac-12
Arizona Wildcats,Pac-12
California Golden Bears,Pac-12
Colorado Buffaloes,Pac-12
Oregon Ducks,Pac-12
Oregon State Beavers,Pac-12
Stanford Cardinal,Pac-12
UCLA Bruins,Pac-12
USC Trojans,Pac-12
Utah Utes,Pac-12
Washington Huskies,Pac-12
Washington State Cougars,Pac-12
American University Eagles,Patriot League
Army Black Knights,Patriot League
Boston University Terriers,Patriot League
Bucknell Bison,Patriot League
Colgate Raiders,Patriot League
Holy Cross Crusaders,Patriot League
Lafayette Leopards,Patriot League
Lehigh Mountain Hawks,Patriot League
Loyola Maryland Greyhounds,Patriot League
Navy Midshipmen,Patriot League
Alabama Crimson Tide,SEC
Arkansas Razorbacks,SEC
Auburn Tigers,SEC
Florida Gators,SEC
Georgia Bulldogs,SEC
Kentucky Wildcats,SEC
LSU Tigers,SEC
Mississippi State Bulldogs,SEC
Missouri Tigers,SEC
Ole Miss Rebels,SEC
South Carolina Gamecocks,SEC
Tennessee Volunteers,SEC
Texas A&M Aggies,SEC
Vanderbilt Commodores,SEC
Alabama A&M Bulldogs,SWAC
Alabama State Hornets,SWAC
Alcorn State Braves,SWAC
Arkansas-Pine Bluff Golden Lions,SWAC
Bethune-Cookman Wildcats,SWAC
Florida A&M Rattlers,SWAC
Grambling Tigers,SWAC
Jackson State Tigers,SWAC
Mississippi Valley State Delta Devils,SWAC
Prairie View A&M Panthers,SWAC
Southern Jaguars,SWAC
Texas Southern Tigers,SWAC
Chattanooga Mocs,Southern
East Tennessee State Buccaneers,Southern
Furman Paladins,Southern
Mercer Bears,Southern
Samford Bulldogs,Southern
The Citadel Bulldogs,Southern
UNC Greensboro Spartans,Southern
VMI Keydets,Southern
Western Carolina Catamounts,Southern
Wofford Terriers,Southern
Houston Christian Huskies,Southland
Incarnate Word Cardinals,Southland
Lamar Cardinals,Southland
McNeese Cowboys,Southland
New Orleans Privateers,Southland
Nicholls Colonels,Southland
Northwestern State Demons,Southland
SE Louisiana Lions,Southland
Texas A&M-Commerce Lions,Southland
Texas A&M-Corpus Christi Islanders,Southland
Denver Pioneers,Summit League
Kansas City Roos,Summit League
North Dakota Fighting Hawks,Summit League
North Dakota State Bison,Summit League
Omaha Mavericks,Summit League
Oral Roberts Golden Eagles,Summit League
South Dakota Coyotes,Summit League
South Dakota State Jackrabbits,Summit League
St. Thomas-Minnesota Tommies,Summit League
Appalachian State Mountaineers,Sun Belt
Arkansas State Red Wolves,Sun Belt
Coastal Carolina Chanticleers,Sun Belt
Georgia Southern Eagles,Sun Belt
Georgia State Panthers,Sun Belt
James Madison Dukes,Sun Belt
Louisiana Ragin' Cajuns,Sun Belt
Marshall Thundering Herd,Sun Belt
Old Dominion Monarchs,Sun Belt
South Alabama Jaguars,Sun Belt
Southern Miss Golden Eagles,Sun Belt
Texas State Bobcats,Sun Belt
Troy Trojans,Sun Belt
UL Monroe Warhawks,Sun Belt
Abilene Christian Wildcats,WAC
California Baptist Lancers,WAC
Grand Canyon Lopes,WAC
Seattle U Redhawks,WAC
Southern Utah Thunderbirds,WAC
Stephen F. Austin Lumberjacks,WAC
Tarleton State Texans,WAC
UT Arlington Mavericks,WAC
UT Rio Grande Valley Vaqueros,WAC
Utah Tech Trailblazers,WAC
Utah Valley Wolverines,WAC
Gonzaga Bulldogs,West Coast
Loyola Marymount Lions,West Coast
Pacific Tigers,West Coast
Pepperdine Waves,West Coast
Portland Pilots,West Coast
Saint Mary's Gaels,West Coast
San Diego Toreros,West Coast
San Francisco Dons,West Coast
Santa Clara Broncos,West Coast
